# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,
# Tue Nov 24 00:36:12 2020,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# COLUMN kepid:          KepID,,,,,,,,,,,,,,,,,,,
# COLUMN kepler_name:    Kepler Name,,,,,,,,,,,,,,,,,,,
# COLUMN koi_disposition: Exoplanet Archive Disposition,,,,,,,,,,,,,,,,,,,
# COLUMN koi_period:     Orbital Period [days],,,,,,,,,,,,,,,,,,,
# COLUMN koi_eccen:      Eccentricity,,,,,,,,,,,,,,,,,,,
# COLUMN koi_impact:     Impact Parameter,,,,,,,,,,,,,,,,,,,
# COLUMN koi_duration:   Transit Duration [hrs],,,,,,,,,,,,,,,,,,,
# COLUMN koi_depth:      Transit Depth [ppm],,,,,,,,,,,,,,,,,,,
# COLUMN koi_prad:       Planetary Radius [Earth radii],,,,,,,,,,,,,,,,,,,
# COLUMN koi_insol:      Insolation Flux [Earth flux],,,,,,,,,,,,,,,,,,,
# COLUMN koi_model_snr:  Transit Signal-to-Noise,,,,,,,,,,,,,,,,,,Confirmed,2358
# COLUMN koi_steff:      Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,Candidate,2366
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,,,,,False Positive,4840
# COLUMN koi_smet:       Stellar Metallicity [dex],,,,,,,,,,,,,,,,,,,
# COLUMN koi_srad:       Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,9564
# COLUMN koi_smass:      Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,
# COLUMN koi_sage:       Stellar Age [Gyr],,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
kepid,kepler_name,koi_disposition,koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,,,
8222813,Kepler-760 b,CONFIRMED,8.70420525,0,0.5,2.9385,1.07E+03,2.86,74.13,74,5074,4.474,0.16,0.863,0.809,,,,
6359320,Kepler-269 c,CONFIRMED,8.1280933,0,0.357,3.727,2.24E+02,1.39,138.51,10.7,5831,4.517,0,0.921,1.016,,,,
6359320,,CANDIDATE,2.83668931,0,0.33,3.031,1.66E+02,1.19,562.48,12.1,5831,4.517,0,0.921,1.016,,,,
6362874,Kepler-775 b,CONFIRMED,0.974868896,0,0.12,1.6191,1.98E+02,1.16,1605.87,82.6,5487,4.563,0,0.832,0.924,,,,
6272413,Kepler-776 b,CONFIRMED,4.89721006,0,0.66,1.812,2.74E+02,1.48,157.93,16.9,5093,4.483,0.08,0.847,0.794,,,,
8279765,,FALSE POSITIVE,2.757794163,0,0.8,2.7644,3.90E+04,20.05,542.43,349.2,5747,4.514,-0.1,0.891,0.948,,,,
8330548,,FALSE POSITIVE,1.914158508,0,0.942,3.2917,7.83E+03,13.63,1730.47,124.6,6289,4.407,0.02,1.118,1.164,,,,
3348082,,FALSE POSITIVE,3.98216698,0,0.775,2.396,3.81E+02,3.32,842.48,27.1,5570,4.066,0.16,1.548,1.019,,,,
3853673,,FALSE POSITIVE,0.643794198,0,1.193,1.5662,4.57E+02,19.51,3852.91,53.7,5958,4.561,-0.42,0.83,0.917,,,,
3447722,Kepler-275 c,CONFIRMED,16.08832318,0,0.648,5.731,5.98E+02,3.42,138.64,31.3,6157,4.224,-0.08,1.33,1.08,,,,
3447722,Kepler-275 b,CONFIRMED,10.30067919,0,0.004,4.885,2.72E+02,2.2,251.55,16.4,6157,4.224,-0.08,1.33,1.08,,,,
3447722,Kepler-275 d,CONFIRMED,35.6757453,0,0.61,7.381,4.71E+02,3.02,47.96,18.5,6157,4.224,-0.08,1.33,1.08,,,,
3447722,,CANDIDATE,1.00861677,,,0.91,,,,,,,,,,,,,
1432214,,FALSE POSITIVE,161.7883271,0,0.267,5.31,8.78E+04,36.14,4.68,704.5,6018,4.327,0.18,1.212,1.142,,,,
2165002,Kepler-263 b,CONFIRMED,16.56806842,0,0.164,4.2647,1.33E+03,2.54,21.27,41.9,4987,4.602,-0.18,0.716,0.749,,,,
2165002,Kepler-263 c,CONFIRMED,47.3329299,0,0.43,2.708,9.32E+02,2.18,5.25,14,4987,4.602,-0.18,0.716,0.749,,,,
2441728,,FALSE POSITIVE,0.856895349,0,0.554,1.3078,8.22E+01,0.82,2960.82,33.1,6021,4.537,-0.34,0.873,0.958,,,,
1871056,Kepler-264 b,CONFIRMED,40.8065333,0,0.016,13.135,3.14E+02,3.71,83.75,54.8,6207,3.963,0.24,2.097,1.472,,,,
8222813,Kepler-760 c,CONFIRMED,2.46697039,0,0.574,1.6345,3.09E+02,1.56,398.42,29.5,5074,4.474,0.16,0.863,0.809,,,,
12105051,,CANDIDATE,2.624234833,0,0.781,1.3874,2.61E+03,5.11,434.31,361.1,5340,4.514,0.36,0.899,0.963,,,,
8240904,Kepler-266 b,CONFIRMED,6.61836309,0,0.043,3.6813,5.49E+02,2.98,304.65,31.5,5529,4.19,0.16,1.294,0.947,,,,
8240904,Kepler-266 c,CONFIRMED,107.7214092,0,0.003,8.042,1.40E+03,4.75,7.39,30.5,5529,4.19,0.16,1.294,0.947,,,,
8240904,,CANDIDATE,92.77779,0,0.0174,6.64,3.59E+02,1.92,6.7,5.2,5888,4.444,0.1,1.019,1.053,,,,
8374494,,FALSE POSITIVE,5.251916208,0,1.256,4.9095,1.06E+04,37.15,194.17,146.3,5542,4.52,0,0.872,0.919,,,,
5735762,Kepler-48 c,CONFIRMED,9.673958488,0,0.194,3.2641,9.53E+02,2.63,69.42,178,5192,4.489,0.18,0.873,0.856,,,,
8414907,,FALSE POSITIVE,100.3039228,0,1.256,8.702,5.45E+03,29.55,2.26,63.2,5055,4.566,0,0.772,0.8,,,,
8414907,,FALSE POSITIVE,200.6110335,,,7.13,,,,,,,,,,,,,
8397446,,FALSE POSITIVE,0.986620248,0,1.252,3.9722,1.35E+03,43.98,6719.67,117.7,6243,4.176,-0.26,1.385,1.049,,,,
8386035,,FALSE POSITIVE,1.63484631,,,6.11,,,17098.4,,,,,,,,,,
3962243,Kepler-276 b,CONFIRMED,14.12847677,0,0.811,3.685,6.29E+02,2.73,70.5,23,5779,4.477,0.14,0.974,1.037,,,,
3962243,Kepler-276 d,CONFIRMED,48.6478543,0,0.988,5.464,6.42E+02,4.14,13.57,12.2,5779,4.477,0.14,0.974,1.037,,,,
3438507,Kepler-788 b,CONFIRMED,8.39842977,0,0.573,6.344,3.40E+02,2,221.66,28,6309,4.441,-0.18,1.044,1.096,,,,
3869014,Kepler-789 b,CONFIRMED,8.63847391,0,0.049,5.4566,3.96E+02,5.99,958.35,38.6,5684,3.657,0.2,3.046,1.536,,,,
3756801,,CANDIDATE,422.917678,0,0.7887,31.274,1.37E+03,5.89,1.73,61.7,5796,4.12,-0.02,1.444,1.004,,,,
1871056,Kepler-264 c,CONFIRMED,140.10765,0,0.019,18.503,2.67E+02,3.42,16.17,29,6207,3.963,0.24,2.097,1.472,,,,
1865042,Kepler-746 b,CONFIRMED,3.4815917,0,0.076,1.8069,1.35E+02,1.17,421.61,23.4,5405,4.374,0.21,1.022,0.902,,,,
2438502,,FALSE POSITIVE,8.360616221,0,0.21,7.5385,2.81E+04,40.35,601.6,425.6,5463,3.79,0.34,2.445,1.343,,,,
2309585,,FALSE POSITIVE,1.838514968,0,0.045,2.7391,2.72E+03,4.86,974.1,63.7,5751,4.508,0.14,0.94,1.038,,,,
5780460,Kepler-747 b,CONFIRMED,35.61760233,0,0.009,8.4559,4.63E+03,5.17,10.19,155,5123,4.523,-0.2,0.779,0.737,,,,
8244190,,FALSE POSITIVE,1.09206833,0,0.469,1.8596,2.19E+02,1.29,1588.89,45.5,5639,4.551,-0.02,0.859,0.959,,,,
8229696,Kepler-761 b,CONFIRMED,10.12805158,0,0.753,3.517,4.77E+02,1.95,81.77,38,5676,4.548,-0.3,0.82,0.865,,,,
8262210,,FALSE POSITIVE,1.613001111,0,0.448,2.394,1.04E+02,1.25,1878.1,19.3,5580,4.223,-0.04,1.205,0.886,,,,
10272640,Kepler-762 b,CONFIRMED,3.770551475,0,0.053,3.8077,1.24E+04,12.05,679.75,100.8,6322,4.426,-0.12,1.075,1.124,,,,
10232123,,FALSE POSITIVE,1.343767797,0,0.891,1.9405,4.70E+03,18.66,11675.38,269.8,6324,3.8,-0.4,2.312,1.23,,,,
10223616,,FALSE POSITIVE,29.12436474,0,1.181,3.4209,6.50E+03,15.25,3.81,63.4,4457,4.767,-1.48,0.481,0.494,,,,
8415745,,FALSE POSITIVE,31.82814583,0,1.276,2.917,4.46E+03,35.8,23.97,78.7,5908,4.507,-0.12,0.92,0.993,,,,
8378634,,FALSE POSITIVE,3.629442796,0,0.97,5.63,4.27E+02,3.28,1001.35,76.4,6506,4.336,-0.14,1.217,1.171,,,,
8397675,,FALSE POSITIVE,0.553261874,0,1.246,0.8875,1.04E+03,97.36,43709.08,202.2,5679,3.565,-0.58,3.142,1.325,,,,
8346392,Kepler-777 b,CONFIRMED,5.72812616,0,0.22,2.0295,6.43E+02,1.38,24.74,20.8,3968,4.714,-0.14,0.548,0.567,,,,
8288947,Kepler-778 b,CONFIRMED,3.75574267,0,0.127,2.2911,4.17E+02,1.58,215.46,27.9,5311,4.588,-0.04,0.788,0.884,,,,
8312852,,FALSE POSITIVE,7.44042933,0,0.968,2.991,5.47E+02,2.74,144.12,34,5815,4.54,-0.12,0.877,0.973,,,,
9480189,Kepler-257 c,CONFIRMED,6.581477136,0,0.137,3.0896,2.32E+03,4.56,142.63,116.2,5188,4.4,0.32,0.973,0.868,,,,
11974540,Kepler-470 b,CONFIRMED,24.66919273,0,0.073,7.03515,7.38E+03,77.76,1150.61,603,5313,2.936,0.56,9.327,2.736,,,,
9480189,Kepler-257 b,CONFIRMED,2.382652873,0,0.682,1.8888,7.05E+02,2.74,553.53,45.5,5188,4.4,0.32,0.973,0.868,,,,
9480189,Kepler-257 d,CONFIRMED,24.66461416,0,0.8,2.8579,2.40E+03,5.34,24.53,56.7,5188,4.4,0.32,0.973,0.868,,,,
9512687,Kepler-735 b,CONFIRMED,11.51517167,0,0.311,2.006,1.36E+03,2.9,43.96,53.2,5177,4.59,0.21,0.798,0.91,,,,
8644288,Kepler-18 c,CONFIRMED,7.641567589,0,0.027,3.41018,2.27E+03,4.91,154.25,437.5,5356,4.338,0.2,1.055,0.882,,,,
5738346,,FALSE POSITIVE,30.6113932,0,1.264,3.576,3.47E+03,19.68,2.38,37.5,3900,4.727,-0.1,0.534,0.555,,,,
1725016,Kepler-748 b,CONFIRMED,7.40742502,0,0.03,3.675,4.42E+02,2.01,183.15,23.1,5922,4.474,-0.08,0.961,1.002,,,,
1722276,,FALSE POSITIVE,569.934135,0,0.919,4.1904,1.89E+04,38.98,1.81,66.7,5367,3.783,-0.46,2.057,0.935,,,,
892772,,FALSE POSITIVE,5.09246539,0,0.161,3.659,2.54E+02,1.17,119.7,17.1,5037,4.547,-0.2,0.751,0.727,,,,
1027438,,FALSE POSITIVE,110.6157662,,,5,,,,,,,,,,,,,
10268907,,FALSE POSITIVE,1.103971357,0,0.52,0.926,3.18E+02,1.37,1109.79,21.7,5409,4.609,-0.3,0.746,0.835,,,,
5446285,Kepler-88 b,CONFIRMED,10.91610834,0,0.7699,3.6496,1.48E+03,3.93,78.19,302.2,5575,4.521,0.36,0.932,1.051,,,,
10166274,Kepler-267 b,CONFIRMED,3.353732008,0,0.051,1.4598,1.26E+03,1.65,33.76,47.8,3789,4.781,-0.34,0.46,0.467,,,,
10166274,Kepler-267 c,CONFIRMED,6.877446033,0,0.79,1.3692,1.63E+03,2.05,12.95,39.6,3789,4.781,-0.34,0.46,0.467,,,,
10166274,Kepler-267 d,CONFIRMED,28.46464804,0,0.035,2.6657,1.63E+03,1.87,1.95,28.9,3789,4.781,-0.34,0.46,0.467,,,,
10153827,,FALSE POSITIVE,0.293630085,0,1.2329,2.3857,2.02E+03,26.35,9283.34,170,5665,4.554,-0.12,0.843,0.928,,,,
5735762,Kepler-48 d,CONFIRMED,42.89645024,0,0.007,5.6897,5.55E+02,2,9.54,66.8,5192,4.489,0.18,0.873,0.856,,,,
8302450,,FALSE POSITIVE,2.44199803,0,0.856,2.759,2.52E+02,1.44,638.05,27.2,5970,4.564,-0.66,0.796,0.847,,,,
8313667,,CANDIDATE,30.5872153,0,0.013,5.3698,4.65E+02,2.32,35.08,33.1,5944,4.38,0,1.082,1.024,,,,
8351704,Kepler-779 A b,CONFIRMED,7.09712124,0,0.05,2.1059,3.70E+02,0.74,7.73,18.3,3569,4.861,-0.16,0.389,0.4,,,,
8299955,,FALSE POSITIVE,2.6827683,0,0.769,2.957,7.98E+01,1.19,1366.57,26.7,6180,4.262,-0.28,1.223,0.997,,,,
9513865,Kepler-736 b,CONFIRMED,3.601465336,0,0.021,2.2753,7.78E+02,2.31,232.65,50.7,5052,4.48,0.16,0.855,0.805,,,,
9595686,,FALSE POSITIVE,3.108251172,0,0.9,2.5048,1.87E+03,4.43,340.69,156.5,5330,4.495,-0.08,0.847,0.819,,,,
9605514,Kepler-1666 b,CONFIRMED,25.8474958,0,0.054,5.985,5.37E+02,2.4,48.23,27.3,6297,4.448,-0.2,1.031,1.084,,,,
9605514,Kepler-1666 c,CONFIRMED,40.715561,0,0.008,6.894,6.81E+02,2.7,26.34,28.9,6297,4.448,-0.2,1.031,1.084,,,,
9661877,,FALSE POSITIVE,20.42720701,0,0.956,3.447,1.27E+03,4.42,48.72,36.7,6014,4.494,-0.08,0.958,1.043,,,,
5728283,,FALSE POSITIVE,6.198273591,0,0.343,7.53837,4.73E+04,19.81,222.23,2561.1,6038,4.524,-0.28,0.898,0.982,,,,
8127639,,FALSE POSITIVE,1.023471798,0,0.974,2.3499,8.61E+02,3.78,2103.09,63,5741,4.491,-0.2,0.893,0.901,,,,
6047498,,FALSE POSITIVE,0.51872711,0,1.199,1.252,7.14E+02,19.07,3537.27,93.3,5572,4.597,-0.36,0.762,0.853,,,,
8125580,Kepler-749 b,CONFIRMED,17.31711739,0,0.684,3.1518,1.47E+03,2.04,10.07,35.9,4719,4.753,-1.7,0.502,0.52,,,,
8158127,Kepler-750 b,CONFIRMED,9.42889884,0,0.011,4.4481,5.65E+02,4.39,432.9,50.4,5897,3.98,0.16,1.86,1.204,,,,
10158990,,FALSE POSITIVE,1.096583368,0,0.421,2.1188,3.09E+02,1.35,1119.9,44.3,5222,4.528,-0.36,0.763,0.717,,,,
10149023,,CANDIDATE,9.95639775,0,1.222,5.615,5.11E+02,28.15,158.42,32.9,6161,4.454,0.07,1.053,1.15,,,,
10141900,,CANDIDATE,6.50327035,0,0.08,2.591,4.18E+02,1.67,98.81,19,4999,4.49,0.18,0.843,0.8,,,,
10141900,,CANDIDATE,4.09667624,0,0.142,2.19,3.02E+02,1.42,182.9,16.2,4999,4.49,0.18,0.843,0.8,,,,
10141900,Kepler-763 b,CONFIRMED,1.196548464,0,0.332,1.2592,2.25E+02,1.25,945.12,16.5,4999,4.49,0.18,0.843,0.8,,,,
8410727,Kepler-270 b,CONFIRMED,11.47609015,0,0.755,5.046,1.82E+02,2.07,221.34,27.7,6071,4.202,0.1,1.41,1.156,,,,
8410727,Kepler-270 c,CONFIRMED,25.2630467,0,0.743,6.22,1.26E+02,1.71,77.24,14.3,6071,4.202,0.1,1.41,1.156,,,,
8349405,,FALSE POSITIVE,7.1688266,,,1.29,,,,,,,,,,,,,
8278371,Kepler-780 b,CONFIRMED,0.677374687,0,0.132,1.8361,7.67E+01,0.9,4572.56,38.7,5718,4.395,0.08,1.037,0.974,,,,
8280511,Kepler-271 b,CONFIRMED,10.43547031,0,0.174,3.4167,2.10E+02,1.22,78.35,36.7,5528,4.499,-0.2,0.853,0.838,,,,
8280511,Kepler-271 c,CONFIRMED,7.41084314,0,0.064,3.245,1.24E+02,0.94,123.4,25.6,5528,4.499,-0.2,0.853,0.838,,,,
9710326,Kepler-737 b,CONFIRMED,28.59914031,0,0.009,3.6567,1.59E+03,1.83,1.87,53.8,3755,4.781,-0.26,0.461,0.47,,,,
9761882,Kepler-738 b,CONFIRMED,24.58716355,0,0.648,3.984,9.08E+02,2.37,18.72,35.6,5474,4.605,-0.34,0.749,0.831,,,,
5297298,,FALSE POSITIVE,34.19360031,0,0.625,5.41382,1.37E+04,21.95,86.74,1405.6,6129,3.991,-0.14,1.786,1.14,,,,
9766437,Kepler-739 b,CONFIRMED,12.53248222,0,0.668,4.0168,1.15E+03,3.24,85.15,66.7,5997,4.522,-0.22,0.904,0.991,,,,
9772531,,CANDIDATE,31.20169247,0,0.001,2.15663,3.45E+04,8.31,1.59,607.4,3748,4.796,-0.3,0.449,0.461,,,,
9775938,Kepler-258 b,CONFIRMED,13.19720694,0,0.568,3.4872,2.14E+03,4.18,40.03,116.2,4954,4.462,0.44,0.885,0.827,,,,
8644288,Kepler-18 d,CONFIRMED,14.85890852,0,0.255,3.5252,3.27E+03,5.94,63.52,456.8,5356,4.338,0.2,1.055,0.882,,,,
8158127,Kepler-750 c,CONFIRMED,4.08897299,0,0.374,3.585,1.58E+02,2.36,1317.96,19,5897,3.98,0.16,1.86,1.204,,,,
8176653,,FALSE POSITIVE,2.866680334,0,0.968,1.1264,7.12E+02,2.93,282.64,43,5238,4.598,-0.1,0.764,0.854,,,,
8174625,Kepler-751 b,CONFIRMED,17.44486016,0,0.871,4.445,8.27E+02,3.24,50.32,46,5568,4.413,-0.04,0.966,0.882,,,,
8183911,,FALSE POSITIVE,8.30697421,0,1.151,2.76,1.59E+02,37.99,570.93,17.4,5300,3.69,-0.76,2.124,0.804,,,,
8179973,,FALSE POSITIVE,2.49705175,,,3.79,,,,,,,,,,,,,
10157458,Kepler-764 b,CONFIRMED,7.33685101,0,0.018,3.548,3.26E+02,1.52,138.46,21.6,5795,4.554,-0.2,0.848,0.938,,,,
4649305,,FALSE POSITIVE,22.65117451,0,0.925,3.6895,2.25E+03,7.62,126.57,170.1,6968,4.31,-0.1,1.333,1.333,,,,
10148521,,FALSE POSITIVE,1.204274435,0,0.528,1.3362,1.86E+02,1.19,1413.91,34.7,5668,4.552,-0.1,0.849,0.938,,,,
10118816,,CANDIDATE,7.71790675,0,0.112,1.84,3.07E+02,0.9,15.01,12.6,3975,4.753,-0.34,0.509,0.535,,,,
10122255,Kepler-765 b,CONFIRMED,27.6652847,0,0.004,6.633,4.69E+02,2.21,39.94,36.1,6036,4.396,-0.32,1.017,0.939,,,,
3124412,,FALSE POSITIVE,0.948950734,0,1.246,4.0245,2.13E+03,36.87,4636.91,238.6,6307,4.391,-0.02,1.133,1.152,,,,
3835670,Kepler-473 b,CONFIRMED,14.55730897,0,0.036,7.7643,9.57E+02,4.32,141,200,5774,4.159,0.14,1.412,1.048,,,,
10287248,,FALSE POSITIVE,4.722254104,0,0.506,3.451,8.27E+04,14.45,22.67,314.1,3801,4.776,-0.14,0.488,0.517,,,,
10351767,,FALSE POSITIVE,0.635069939,0,1.25,2.07171,3.31E+04,57.77,7193.72,578.6,6340,4.434,-0.18,1.058,1.106,,,,
10295951,,CANDIDATE,6.810823723,0,0.57,7.98574,1.44E+04,26.06,1656.16,1441.9,7226,3.967,-0.4,2.079,1.461,,,,
10342041,,FALSE POSITIVE,0.933746515,0,1.262,6.6522,2.94E+03,25.54,1222.25,549.5,5252,4.596,-0.42,0.716,0.737,,,,
10514770,,FALSE POSITIVE,1.872421727,0,0.917,1.5261,3.02E+03,5.65,672.92,179,5337,4.486,-0.26,0.825,0.76,,,,
9775938,Kepler-258 c,CONFIRMED,33.6528474,0,0.567,3.9616,1.14E+03,3.05,11.5,41.9,4954,4.462,0.44,0.885,0.827,,,,
9787239,Kepler-32 b,CONFIRMED,5.90127815,0,0.03,2.1979,1.53E+03,1.94,16.54,56.6,3731,4.75,-0.02,0.498,0.509,,,,
9787239,Kepler-32 c,CONFIRMED,8.75209691,0,0.017,2.3742,1.37E+03,1.83,9.76,44.8,3731,4.75,-0.02,0.498,0.509,,,,
9787239,Kepler-32 d,CONFIRMED,22.78078241,0,0.008,3.3002,1.93E+03,2.17,2.73,46.4,3731,4.75,-0.02,0.498,0.509,,,,
9787239,Kepler-32 e,CONFIRMED,2.896005211,0,0.082,1.6776,6.14E+02,1.23,42.53,28.6,3731,4.75,-0.02,0.498,0.509,,,,
9787239,Kepler-32 f,CONFIRMED,0.742957911,0,0.162,0.6688,8.43E+02,1.47,262.51,45.3,3731,4.75,-0.02,0.498,0.509,,,,
2309719,,FALSE POSITIVE,54.35635067,0,1.142,6.4345,1.05E+04,38.81,24.18,628.1,6161,4.281,0,1.255,1.095,,,,
2558363,,FALSE POSITIVE,0.54624855,0,1.215,2.0543,6.40E+02,18.93,2677.36,42.9,5414,4.625,-0.44,0.714,0.792,,,,
2716853,Kepler-752 b,CONFIRMED,18.82744023,0,0.025,4.664,1.01E+03,2.7,37.82,29.5,5687,4.538,-0.12,0.86,0.93,,,,
2445154,,FALSE POSITIVE,8.4120069,0,0.022,3.923,8.20E+02,1.71,28.69,39.7,4502,4.668,-0.26,0.621,0.662,,,,
2715135,Kepler-753 b,CONFIRMED,5.747711909,0,0.575,1.8923,8.20E+02,1.86,40.07,51.7,4252,4.64,-0.06,0.632,0.637,,,,
8644288,Kepler-18 b,CONFIRMED,3.504691252,0,0.741,1.9811,3.15E+02,2.03,435.21,67.5,5356,4.338,0.2,1.055,0.882,,,,
3113266,,FALSE POSITIVE,0.995861402,0,1.256,1.1507,4.99E+03,26.93,1124.35,272,5286,4.604,-0.48,0.706,0.731,,,,
3247268,Kepler-418 b,CONFIRMED,86.67856052,0,0.291,10.1289,8.24E+03,9.83,8.41,318.3,5822,4.351,-0.06,1.081,0.957,,,,
3247268,,CANDIDATE,12.21828097,0,0.778,2.6969,1.84E+03,5.1,114.59,90.1,5822,4.351,-0.06,1.081,0.957,,,,
3232859,,FALSE POSITIVE,8.387210055,0,1.284,1.6477,4.95E+03,72.52,509.55,180.6,6089,4.044,0.08,1.795,1.299,,,,
3098184,,FALSE POSITIVE,15.2384539,0,0.74,19.292,7.02E+03,9.84,111.67,56,6384,4.419,-0.16,1.086,1.129,,,,
2720309,,FALSE POSITIVE,0.413334492,0,1.2313,2.3808,2.03E+03,31.52,9374.09,236.9,5973,4.465,0.12,1.016,1.099,,,,
10342065,,FALSE POSITIVE,0.93374614,0,1.27,6.551,1.72E+03,149.71,28084.15,365.7,5438,3.424,-0.02,4.319,1.807,,,,
10352945,,FALSE POSITIVE,6.47179275,0,0.014,6.788,4.03E+02,2.08,316,30.7,6341,4.446,-0.24,1.033,1.083,,,,
10354039,,CANDIDATE,64.617518,0,0.9,5.796,2.49E+03,5.4,5.09,61.9,5043,4.47,0.3,0.881,0.834,,,,
10330115,Kepler-781 b,CONFIRMED,13.21409607,0,0.812,3.5641,1.15E+03,2.77,36.95,38,5333,4.62,-0.32,0.728,0.813,,,,
10426656,Kepler-272 c,CONFIRMED,6.05729966,0,0.219,3.7419,3.85E+02,1.94,189.98,35.1,5334,4.372,0.16,1.004,0.865,,,,
9820483,Kepler-740 b,CONFIRMED,3.584101048,0,0.045,2.7316,2.61E+03,4.66,386.66,166.3,5739,4.518,0.1,0.922,1.021,,,,
9941662,Kepler-13 b,CONFIRMED,1.763587535,0,0.512,3.16877,4.59E+03,21.42,37958.27,4061.9,9107,3.867,0.07,3.031,2.466,,,,
7778437,Kepler-471 b,CONFIRMED,5.014234733,0,0.066,4.589,6.54E+03,10.63,692.13,794.3,6490,4.32,0.16,1.307,1.304,,,,
9823457,Kepler-259 b,CONFIRMED,8.11528727,0,0.916,3.211,8.35E+02,3.1,140.92,59.1,5926,4.532,-0.2,0.887,0.978,,,,
9823457,Kepler-259 c,CONFIRMED,36.9250409,0,0.838,4.9381,9.02E+02,3.01,18.7,39.3,5926,4.532,-0.2,0.887,0.978,,,,
2574201,,FALSE POSITIVE,37.4783492,0,1.161,5.317,1.47E+03,10.05,1.12,18.3,3687,4.813,-0.2,0.44,0.459,,,,
2166206,,FALSE POSITIVE,8.09695764,0,1.165,3.319,2.84E+02,34,484.58,35.4,5949,4.024,0.02,1.707,1.122,,,,
2164169,,CANDIDATE,32.3122867,0,0.934,6.569,6.78E+02,4.84,56.49,33.6,5821,4.108,0.04,1.494,1.043,,,,
2574338,,CANDIDATE,9.22961384,0,0.067,2.235,4.92E+02,2.79,257.11,19.3,6320,4.347,0.24,1.252,1.273,,,,
2584163,Kepler-754 b,CONFIRMED,14.5598556,0,0.026,5.624,2.91E+02,1.64,78.26,15.6,5959,4.46,-0.16,0.966,0.983,,,,
4180280,Kepler-472 b,CONFIRMED,4.176254191,0,0.715,3.6716,1.36E+03,3.07,139.48,249.7,4957,4.594,0.26,0.776,0.867,,,,
3239636,,FALSE POSITIVE,0.528755447,0,1.204,5.714,4.09E+02,47.75,27241.45,100.1,6151,3.92,-0.22,1.954,1.158,,,,
2721030,Kepler-766 b,CONFIRMED,6.10027621,0,0.015,4.7476,7.67E+02,2.59,227.15,43.2,5957,4.506,-0.08,0.937,1.026,,,,
3329204,,CANDIDATE,51.59809554,0,0.251,2.0153,5.87E+03,6.57,9.61,79.7,5681,4.551,-0.06,0.859,0.957,,,,
3230491,,CANDIDATE,1500,0,0.9243,7.109,9.59E+03,9.8,0.09,62.5,5606,4.597,-0.4,0.76,0.832,,,,
3340070,,FALSE POSITIVE,10.9110487,0,0.9761,7.033,4.02E+02,2.36,90.07,28.3,5903,4.546,-0.24,0.864,0.955,,,,
7626506,Kepler-112 b,CONFIRMED,8.408878137,0,0.018,3.4967,7.99E+02,2.28,101.22,147.2,5551,4.508,-0.42,0.812,0.776,,,,
10426656,Kepler-272 d,CONFIRMED,10.93725572,0,0.866,3.0822,4.22E+02,2.41,86.28,24.6,5334,4.372,0.16,1.004,0.865,,,,
10426656,Kepler-272 b,CONFIRMED,2.97136658,0,0.349,2.716,2.33E+02,1.52,490.13,25.6,5334,4.372,0.16,1.004,0.865,,,,
10528068,Kepler-782 b,CONFIRMED,158.6850022,0,0.034,11.5372,8.98E+02,3.08,3.53,97.4,5751,4.34,-0.28,1.034,0.852,,,,
10468940,Kepler-273 b,CONFIRMED,2.936527336,0,0.524,1.771,3.52E+02,1.92,505.22,34.7,5359,4.375,0.14,1.002,0.867,,,,
9825625,Kepler-741 b,CONFIRMED,7.03902016,0,0.015,3.8633,5.30E+02,2.45,288.92,54.3,6321,4.434,-0.16,1.058,1.108,,,,
9875711,Kepler-742 b,CONFIRMED,8.360870704,0,0.494,2.7144,2.04E+03,3.67,53.68,120.9,4743,4.516,0.4,0.81,0.786,,,,
7661409,,FALSE POSITIVE,3.14051153,0,1.251,8.2806,1.44E+03,31.01,689.48,139.5,6108,4.443,-0.34,0.974,0.959,,,,
1026957,,CANDIDATE,21.76129812,0,0.123,1.243,1.30E+03,2.53,13.18,60,4859,4.612,0,0.72,0.781,,,,
10002261,,FALSE POSITIVE,12.71379418,0,0.485,2.44093,3.67E+04,2.31,0.26,2981.3,2661,5.283,0,0.116,0.094,,,,
8176650,,FALSE POSITIVE,15.80110003,0,0.512,6.37505,3.75E+04,15.61,33.6,1642.2,5383,4.587,-0.1,0.789,0.885,,,,
2162635,,CANDIDATE,1500.140677,0,0.9131,25.727,4.13E+03,18.35,0.42,83.3,5009,3.755,0.07,2.283,1.083,,,,
5899544,,FALSE POSITIVE,1.739428983,0,4.246,2.4894,5.90E+03,268.65,612.49,130,5415,4.603,-0.34,0.742,0.806,,,,
